"","new_name","biorep","techrep","variable","index"
"100","NA_HvCa+ura50_trmB-HA_1",1,1,"17",129
"101","NA_HvCa+ura50_trmB-HA_2",1,2,"85",130
"102","NA_HvCa+ura50_trmB-HA_3",1,3,"112",131
"103","NA_HvCa+ura50_trmB-HA_4",2,1,"48",132
"104","NA_HvCa+ura50_trmB-HA_5",2,2,"132",133
"105","NA_HvCa+ura50_trmB-HA_6",2,3,"173",134
"106","NA_HvCa+ura50_trmB-HA_7",3,1,"104",135
"107","NA_HvCa+ura50_trmB-HA_8",3,2,"187",136
"108","NA_HvCa+ura50_trmB-HA_9",3,3,"193",137
"109","NA_HvCa+ura50+nov10__trmB+p_1",1,1,"14",138
"110","NA_HvCa+ura50+nov10__trmB+p_2",1,2,"127",139
"111","NA_HvCa+ura50+nov10__trmB+p_3",1,3,"184",140
"112","NA_HvCa+ura50+nov10__trmB+p_4",2,1,"66",141
"113","NA_HvCa+ura50+nov10__trmB+p_5",2,2,"113",142
"114","NA_HvCa+ura50+nov10__trmB+p_6",2,3,"142",143
"115","NA_HvCa+ura50+nov10__trmB+p_7",3,1,"50",144
"116","NA_HvCa+ura50+nov10__trmB+p_8",3,2,"146",145
"117","NA_HvCa+ura50+nov10__trmB+p_9",3,3,"189",146
"118","NA_HvCa+ura50+nov10__trmB+ptrmB_1",1,1,"27",147
"119","NA_HvCa+ura50+nov10__trmB+ptrmB_2",1,2,"62",148
"120","NA_HvCa+ura50+nov10__trmB+ptrmB_3",1,3,"147",149
"121","NA_HvCa+ura50+nov10__trmB+ptrmB_4",2,1,"13",150
"122","NA_HvCa+ura50+nov10__trmB+ptrmB_5",2,2,"163",151
"123","NA_HvCa+ura50+nov10__trmB+ptrmB_6",2,3,"196",152
"124","NA_HvCa+ura50+nov10__trmB+ptrmB_7",3,1,"23",153
"125","NA_HvCa+ura50+nov10__trmB+ptrmB_8",3,2,"72",154
"126","NA_HvCa+ura50+nov10__trmB+ptrmB_9",3,3,"198",155
"127","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_1",1,1,"22",156
"128","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_2",1,2,"43",157
"129","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_3",1,3,"166",158
"130","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_4",2,1,"30",159
"131","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_5",2,2,"67",160
"132","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_6",2,3,"82",161
"133","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_7",3,1,"25",162
"134","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_8",3,2,"69",163
"135","NA_HvCa+ura50+nov10__trmB+ptrmB-HA_9",3,3,"174",164
"136","NA_HvCa+ura50+nov10_parent+p_1",1,1,"59",174
"137","NA_HvCa+ura50+nov10_parent+p_2",1,2,"76",175
"138","NA_HvCa+ura50+nov10_parent+p_3",1,3,"164",176
"139","NA_HvCa+ura50+nov10_parent+p_4",2,1,"119",177
"140","NA_HvCa+ura50+nov10_parent+p_5",2,2,"186",178
"141","NA_HvCa+ura50+nov10_parent+p_6",2,3,"194",179
"142","NA_HvCa+ura50+nov10_parent+p_7",3,1,"6",180
"143","NA_HvCa+ura50+nov10_parent+p_8",3,2,"153",181
"144","NA_HvCa+ura50+nov10_parent+p_9",3,3,"183",182
"145","NA_HvCa+ura50+nov10_parent+ptrmB_1",1,1,"136",183
"146","NA_HvCa+ura50+nov10_parent+ptrmB_2",1,2,"145",184
"147","NA_HvCa+ura50+nov10_parent+ptrmB_3",1,3,"168",185
"148","NA_HvCa+ura50+nov10_parent+ptrmB_4",2,1,"28",186
"149","NA_HvCa+ura50+nov10_parent+ptrmB_5",2,2,"32",187
"150","NA_HvCa+ura50+nov10_parent+ptrmB_6",2,3,"195",188
"151","NA_HvCa+ura50+nov10_parent+ptrmB_7",3,1,"177",189
"152","NA_HvCa+ura50+nov10_parent+ptrmB_8",3,2,"182",190
"153","NA_HvCa+ura50+nov10_parent+ptrmB_9",3,3,"185",191
"154","NA_HvCa+ura50+nov10_parent+ptrmB-HA_1",1,1,"42",192
"155","NA_HvCa+ura50+nov10_parent+ptrmB-HA_2",1,2,"116",193
"156","NA_HvCa+ura50+nov10_parent+ptrmB-HA_3",1,3,"154",194
"157","NA_HvCa+ura50+nov10_parent+ptrmB-HA_4",2,1,"36",195
"158","NA_HvCa+ura50+nov10_parent+ptrmB-HA_5",2,2,"64",196
"159","NA_HvCa+ura50+nov10_parent+ptrmB-HA_6",2,3,"172",197
"160","NA_HvCa+ura50+nov10_parent+ptrmB-HA_7",3,1,"63",198
"161","NA_HvCa+ura50+nov10_parent+ptrmB-HA_8",3,2,"129",199
"162","NA_HvCa+ura50+nov10_parent+ptrmB-HA_9",3,3,"165",200
